A,B,C,D,E,F
623,692,634,579,433,382
697,671,668,550,338,298
663,709,671,459,463,397
637,718,733,489,406,398
670,698,711,569,326,308
626,706,663,585,451,380
693,665,662,555,370,330
663,704,667,459,463,387
633,692,733,512,427,405
663,690,651,583,449,393
630,659,661,551,347,299
703,709,669,464,463,396
670,707,728,499,405,390
627,717,710,569,319,277
616,696,648,581,421,362
700,674,663,561,403,325
629,685,638,448,445,375
629,711,732,504,418,405
669,734,719,571,324,295
